id,user_id,tree_id,comment_text,platform,sentiment,confidence,category,impact,water_drops,poison_drops,week_number
#######,#######,#######,THank you Jesus,twitter,positive,0.6,Normal,3,3,0,6
#######,#######,#######,Salute our proud soldier. You are our real hero.,twitter,negative,0.85,Hate Speech,9,0,9,5
#######,#######,#######,we deserve good lifr,twitter,positive,0.6,Normal,1,0,0,3
#######,#######,#######,This is Fake divide a concur strategy,twitter,neutral,0.5,Normal,1,0,0,5
#######,#######,#######,A great friends.,twitter,positive,0.6,Normal,3,3,0,4
#######,#######,#######,lovely,twitter,positive,0.6,Normal,3,3,0,4
#######,#######,#######,this lady is beautiful,instagram,positive,0.6,Normal,3,3,0,6
#######,#######,#######,Beautiful scene,twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,very similar to my firstIbanez RG series :),instagram,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,"Change can be tough, but it often leads to amazing things!",twitter,negative,0.85,Hate Speech,9,0,9,2
#######,#######,#######,"Keep going, you are doing wonderful stuff",twitter,positive,0.6,Normal,3,3,0,3
#######,#######,#######,o furacão (lê-se: minha mãe) cegou,twitter,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,"The first black woman in South Africa to publish an English novel. I started my 2025 reading journey with 'Muriel at Metropolitan', which draws from Mam'Tlali's experiences of working in the City of Gold. It shed light on racial relations between employers and employees, and businesspeople and customers. Of course, the apartheid government banned the book. Internationally, the book was translated into Japanese, Polish, German and Dutch to name a few.",twitter,neutral,0.5,Normal,2,0,0,2
#######,#######,#######,"""he doesn't dispute having made a statement, he only asked Gininda to transfer what #1 had said in his statement"" , so which statement did he make??#SenzoMayiwaTrial",twitter,negative,0.5,Trolling,3,0,3,3
#######,#######,#######,Good couple.,twitter,positive,0.6,Normal,3,3,0,4
#######,#######,#######,Didnt even hit the head,twitter,neutral,0.5,Normal,1,0,0,4
#######,#######,#######,amennn thank you,twitter,positive,0.6,Normal,3,3,0,4
#######,#######,#######,it's awesome!,instagram,positive,0.6,Normal,3,3,0,1
#######,#######,#######,"The state and Gininda said Gwabini couldn't come because he was scared of the accused, now we actually see that all that was untrue, they did not call him because they were lying about him and are now threatening him in court #senzomeyiwatrial",twitter,negative,0.65,Microaggression,5,0,5,2
#######,#######,#######,"Keep blooming, superstar",twitter,neutral,0.5,Normal,1,0,0,5
#######,#######,#######,"já fiz uma boa quantidade de trabalho depois do almoço, então vou limpar a casa 🥲",twitter,neutral,0.5,Normal,1,0,0,2
#######,#######,#######,"Cellphone records to put Zungu at the hostel on the day, AVL from the ""work car"" he drove. They gave nothing, Zero! Instead, they had ""witnesses who were there,"" but they could not call them on the stand",twitter,neutral,0.5,Normal,1,0,0,2
